SN,Gender,AGE,Recency_Service,Recency_Product,Bill_Service,Bill_Product,Success,AGE_Encoded,Total_Recency,Total_Bill,Recency_Ratio,Bill_Ratio
1,1,<=45,12,11,11.82,2.68,0,1,23,14.5,1.0,3.2119565217391304
2,2,<=30,6,0,10.31,1.32,0,0,6,11.63,6.0,4.443965517241379
3,1,<=30,1,9,7.43,0.49,0,0,10,7.92,0.1,4.9865771812080535
4,1,<=45,2,14,13.68,1.85,0,1,16,15.53,0.13333333333333333,4.8
5,2,<=30,0,11,4.56,1.01,1,0,11,5.569999999999999,0.0,2.2686567164179103
6,2,<=30,1,2,18.99,0.44,1,0,3,19.43,0.3333333333333333,13.1875
7,1,<=30,11,8,17.53,5.43,0,0,19,22.96,1.2222222222222223,2.726283048211509
8,1,<=45,16,9,7.94,1.48,0,1,25,9.42,1.6,3.2016129032258065
9,1,<=45,14,8,41.55,15.97,1,1,22,57.519999999999996,1.5555555555555556,2.4484384207424865
10,1,<=30,8,4,5.75,1.37,0,0,12,7.12,1.6,2.4261603375527425
11,2,<=55,13,10,1.89,0.59,0,2,23,2.48,1.1818181818181819,1.1886792452830188
12,2,<=30,10,6,7.22,1.21,0,0,16,8.43,1.4285714285714286,3.266968325791855
13,2,<=55,28,8,9.63,3.32,0,2,36,12.950000000000001,3.111111111111111,2.2291666666666665
14,2,<=30,3,1,19.16,2.26,0,0,4,21.42,1.5,5.877300613496933
15,2,<=30,4,4,19.03,0.67,0,0,8,19.700000000000003,0.8,11.395209580838324
16,2,<=45,18,14,7.13,4.14,0,1,32,11.27,1.2,1.38715953307393
17,2,<=45,18,8,12.59,4.97,0,1,26,17.56,2.0,2.1088777219430486
18,2,<=30,13,1,8.33,1.87,1,0,14,10.2,6.5,2.902439024390244
19,1,<=30,1,7,3.38,0.95,0,0,8,4.33,0.125,1.7333333333333334
20,1,<=45,4,3,28.94,1.6,1,1,7,30.540000000000003,1.0,11.13076923076923
21,1,<=30,4,7,4.48,0.67,0,0,11,5.15,0.5,2.6826347305389224
22,1,<=45,1,0,5.37,1.26,1,1,1,6.63,1.0,2.3761061946902657
23,2,<=30,6,7,18.14,1.73,0,0,13,19.87,0.75,6.644688644688645
24,2,<=30,6,0,2.62,0.76,0,0,6,3.38,6.0,1.4886363636363638
25,2,<=30,4,3,5.72,1.17,0,0,7,6.89,1.0,2.6359447004608296
26,2,<=45,15,0,13.55,4.15,0,1,15,17.700000000000003,15.0,2.6310679611650487
27,2,<=55,27,22,13.17,5.25,0,2,49,18.42,1.173913043478261,2.1072
28,2,<=55,18,14,6.86,16.38,1,2,32,23.24,1.2,0.39470655926352133
29,2,<=45,12,3,18.26,5.77,0,1,15,24.03,3.0,2.697193500738553
30,1,<=55,19,25,3.1,1.64,0,2,44,4.74,0.7307692307692307,1.1742424242424243
31,1,<=30,2,8,10.31,2.5,0,0,10,12.81,0.2222222222222222,2.9457142857142857
32,1,<=30,0,2,11.87,1.45,1,0,2,13.319999999999999,0.0,4.8448979591836725
33,1,<=45,6,8,3.63,1.38,0,1,14,5.01,0.6666666666666666,1.5252100840336136
34,1,<=45,6,19,20.72,3.46,1,1,25,24.18,0.3,4.645739910313901
35,2,<=30,0,8,16.63,1.26,1,0,8,17.89,0.0,7.358407079646018
36,1,<=45,7,2,6.66,1.78,0,1,9,8.44,2.3333333333333335,2.39568345323741
37,1,<=45,21,21,6.61,1.53,0,1,42,8.14,0.9545454545454546,2.6126482213438735
38,2,<=45,13,11,19.86,6.81,1,1,24,26.669999999999998,1.0833333333333333,2.5428937259923177
39,2,<=55,19,25,4.93,1.01,0,2,44,5.9399999999999995,0.7307692307692307,2.4527363184079602
40,1,<=30,1,0,5.72,0.77,0,0,1,6.49,1.0,3.231638418079096
41,1,<=30,6,2,5.69,0.34,0,0,8,6.03,2.0,4.246268656716418
42,1,<=45,11,2,3.79,0.17,0,1,13,3.96,3.6666666666666665,3.2393162393162394
43,1,<=45,15,19,4.91,0.74,0,1,34,5.65,0.75,2.82183908045977
44,2,<=55,24,14,10.2,4.22,0,2,38,14.419999999999998,1.6,1.9540229885057472
45,2,<=45,1,8,13.43,1.45,1,1,9,14.879999999999999,0.1111111111111111,5.481632653061224
46,2,<=45,7,5,15.46,1.56,0,1,12,17.02,1.1666666666666667,6.0390625
47,2,<=45,11,8,1.36,0.84,0,1,19,2.2,1.2222222222222223,0.7391304347826088
48,2,<=45,20,17,1.81,0.37,0,1,37,2.18,1.1111111111111112,1.3211678832116787
49,2,<=45,12,10,5.88,0.63,0,1,22,6.51,1.0909090909090908,3.607361963190184
50,2,<=45,11,4,23.93,5.6,1,1,15,29.53,2.2,3.625757575757576
51,2,<=45,7,2,12.94,0.63,0,1,9,13.57,2.3333333333333335,7.938650306748467
52,1,<=45,12,12,3.65,0.53,0,1,24,4.18,0.9230769230769231,2.3856209150326797
53,1,<=30,8,6,12.54,1.14,0,0,14,13.68,1.1428571428571428,5.85981308411215
54,1,<=45,9,16,7.95,0.7,0,1,25,8.65,0.5294117647058824,4.676470588235294
55,1,<=55,16,27,17.63,16.28,1,2,43,33.91,0.5714285714285714,1.0202546296296295
56,2,<=55,21,3,21.36,7.65,0,2,24,29.009999999999998,5.25,2.4693641618497106
57,2,<=45,3,2,10.04,1.41,0,1,5,11.45,1.0,4.165975103734439
58,2,<=30,6,2,5.13,0.9,0,0,8,6.03,2.0,2.7
59,2,<=45,20,2,2.06,1.43,0,1,22,3.49,6.666666666666667,0.8477366255144034
60,2,<=45,8,16,1.12,0.95,0,1,24,2.0700000000000003,0.47058823529411764,0.5743589743589744
61,2,<=55,4,18,6.35,2.96,0,2,22,9.309999999999999,0.21052631578947367,1.6035353535353534
62,2,<=45,22,9,14.83,3.98,0,1,31,18.81,2.2,2.977911646586345
63,1,<=30,3,4,6.9,1.43,0,0,7,8.33,0.6,2.839506172839507
64,1,<=30,0,4,9.24,0.66,0,0,4,9.9,0.0,5.566265060240964
65,1,<=30,1,1,7.38,1.1,0,0,2,8.48,0.5,3.5142857142857142
66,1,<=45,13,5,9.57,0.77,0,1,18,10.34,2.1666666666666665,5.406779661016949
67,1,<=55,9,1,20.19,3.23,1,2,10,23.42,4.5,4.773049645390071
68,2,<=55,22,23,12.41,3.3,0,2,45,15.71,0.9166666666666666,2.886046511627907
69,1,<=30,5,7,19.06,2.15,0,0,12,21.209999999999997,0.625,6.050793650793651
70,1,<=30,9,0,28.38,6.01,1,0,9,34.39,9.0,4.048502139800285
71,2,<=30,0,7,24.42,2.04,0,0,7,26.46,0.0,8.032894736842106
72,2,<=55,29,19,25.94,20.69,1,2,48,46.63,1.45,1.1959428307976026
73,1,<=55,9,5,21.13,4.75,1,2,14,25.88,1.5,3.674782608695652
74,1,<=45,13,9,8.03,0.97,0,1,22,9.0,1.3,4.0761421319796955
